City of Boston,Preliminary Election 9/26/2017,Compiled and formatted by Frank Conte,,,,,www.eastboston.com,,,,,,
Ward 1-Boston,,,,,,,,,,,,,
East Boston,,,,,,,,,,,,,
Mayor's Race 2017,,,,,,,,,,,,,
Election Results (Unofficial),,,,,,,,,,,,,
Citywide Turnout: 14.45%,,,,,,,Registration Numbers,,,,,,
Prct,Tito Jackson,Joseph Wiley,Robert Cappucci,Martin Walsh,Write-in,Blanks,Registered Voters,Times Counted,Total,,,,
1,85,5,45,198,1,7,1397,341,341,,,,
2,46,2,36,76,0,3,1035,163,163,,,,
3,98,4,41,278,5,11,2379,437,437,,,,
4,31,1,13,95,0,2,798,142,142,,,,
5,28,2,18,128,2,2,1255,180,180,,,,
6,42,2,26,123,0,6,1171,200,199,,,,
7,35,5,25,138,2,9,1218,214,214,,,,
8,50,5,26,190,2,8,1708,281,281,,,,
9,35,2,33,134,2,2,1093,208,208,,,,
10,13,0,16,79,0,4,742,112,112,,,,
11,43,8,86,224,0,6,1425,367,367,,,,
12,38,6,86,212,1,3,1365,346,346,,,,
13,55,3,71,228,3,12,1916,372,372,,,,
14,34,1,43,110,0,3,980,191,191,,,,
15,0,0,0,0,18,0,0,0,0,,,,
Total,633,46,565,2213,36,78,18482,3554,3553,,,,
,,,,,,,,,,,,,
